Tec;Probab;Probab Acum;Números Aleatórios;;;
5;10%;10%;0,298593097;10;;16,7527689873418
10;20%;30%;0,357524339;15;;
15;30%;60%;0,90377514;30;;
20;15%;75%;0,450910978;15;;
25;15%;90%;0,687002167;20;;
30;10%;100%;0,541123692;15;;
;;;0,207159642;10;;
;;;0,277108066;10;;
;;;0,102633747;10;;
;;;0,300637837;15;;
;;;0,840693381;25;;
;;;0,845149083;25;;
;;;0,377574999;15;;
;;;0,38471633;15;;
;;;0,324747459;15;;
;;;0,795403912;25;;
;;;0,485335856;15;;
;;;0,687582018;20;;
;;;0,031800287;5;;
;;;0,345042268;15;;
;;;0,271187475;10;;
;;;0,683797723;20;;
;;;0,007263405;5;;
;;;0,450086978;15;;
;;;0,090273751;5;;
;;;0,138431959;10;;
;;;0,964354381;30;;
;;;0,446119572;15;;
;;;0,010467849;5;;
;;;0,123691519;10;;
;;;0,358684042;15;;
;;;0,448835719;15;;
;;;0,735892819;20;;
;;;0,873622852;25;;
;;;0,949797052;30;;
;;;0,295693838;10;;
;;;0,907162694;30;;
;;;0,507675405;15;;
;;;0,754539628;25;;
;;;0,309488205;15;;
;;;0,935117649;30;;
;;;0,155095065;10;;
;;;0,799859615;25;;
;;;0,66585284;20;;
;;;0,02395703;5;;
;;;0,510574664;15;;
;;;0,580309458;15;;
;;;0,645191809;20;;
;;;0,539872433;15;;
;;;0,352916044;15;;
;;;0,627094333;20;;
;;;0,550889615;15;;
;;;0,381847591;15;;
;;;0,057924131;5;;
;;;0,094576861;5;;
;;;0,574602496;15;;
;;;0,510605182;15;;
;;;0,636555071;20;;
;;;0,770744957;25;;
;;;0,390118107;15;;
;;;0,291909543;10;;
;;;0,329783013;15;;
;;;0,41749321;15;;
;;;0,757011628;25;;
;;;0,810785241;25;;
;;;0,291299173;10;;
;;;0,847560045;25;;
;;;0,915372173;30;;
;;;0,812433241;25;;
;;;0,389538255;15;;
;;;0,643818476;20;;
;;;0,052552873;5;;
;;;0,42649617;15;;
;;;0,659779656;20;;
;;;0,927488021;30;;
;;;0,623798334;20;;
;;;0,33088168;15;;
;;;0,438032167;15;;
;;;0,081331828;5;;
;;;0,807306131;25;;
;;;0,510940886;15;;
;;;0,708120975;20;;
;;;0,834467605;25;;
;;;0,875484481;25;;
;;;0,271004364;10;;
;;;0,69225135;20;;
;;;0,61424604;20;;
;;;0,763451033;25;;
;;;0,653920103;20;;
;;;0,21765801;10;;
;;;0,572405164;15;;
;;;0,616016114;20;;
;;;0,924924467;30;;
;;;0,889370403;25;;
;;;0,191137425;10;;
;;;0,594439528;15;;
;;;0,276467177;10;;
;;;0,6011536;20;;
;;;0,875606555;25;;
;;;0,724234748;20;;
;;;0,409894101;15;;
;;;0,415540025;15;;
;;;0,438642537;15;;
;;;0,065157018;5;;
;;;0,150273141;10;;
;;;0,34418775;15;;
;;;0,884884182;25;;
;;;0,984893338;30;;
;;;0,750724815;25;;
;;;0,059968871;5;;
;;;0,399426252;15;;
;;;0,81716361;25;;
;;;0,042329173;5;;
;;;0,071749016;5;;
;;;0,948179571;30;;
;;;0,686269723;20;;
;;;0,0863979;5;;
;;;0,393658254;15;;
;;;0,395550401;15;;
;;;0,778588214;25;;
;;;0,484359264;15;;
;;;0,239387188;10;;
;;;0,546250801;15;;
;;;0,842799158;25;;
;;;0,002471999;5;;
;;;0,773400067;25;;
;;;0,016815699;5;;
;;;0,19962157;10;;
;;;0,667348247;20;;
;;;0,449812311;15;;
;;;0,343760491;15;;
;;;0,042817469;5;;
;;;0,987945189;30;;
;;;0,970641194;30;;
;;;0,234076968;10;;
;;;0,312417982;15;;
;;;0,461195715;15;;
;;;0,394207587;15;;
